time,rpm,load,temp,short_term_fuel_trim_1,long_term_fuel_trim_1,short_term_fuel_trim_2,long_term_fuel_trim_2,speed,timing_advance,intake_air_temp,maf
1441802585,2000,41.17647059,97,0.78125,0,3.125,0,104,31,15,20.43
1441802586,1992.75,49.01960784,97,BADDATA,0,0.78125,0,103,30.5,15,21.65
1441802588,1982.5,47.05882353,97,0,0,4.6875,0.78125,103,18,15,39.2
1441802590,2004,60.78431373,97,0,0.78125,-1.5625,0.78125,105,25,15,29.84
1441802592,2019.25,53.33333333,97,2.34375,0.78125,-0.78125,0.78125,105,29.5,15,BADDATA
1441802593,BADDATA,54.11764706,97,-0.78125,0.78125,-2.34375,0,105,BADDATA,15,16.5
1441802595,2005.5,38.03921569,97,2.34375,-0.78125,2.34375,0,103,31.5,15,22.75
1441802597,1980,49.41176471,98,0.78125,0.78125,4.6875,0.78125,103,28.5,15,26.35
1441802599,1979.25,50.58823529,BADDATA,-1.5625,0,0,BADDATA,BADDATA,29.5,15,23.97
1441802600,1970,49.41176471,98,1.5625,0,0.78125,0,102,29.5,15,24.52
1441802602,1959,52.15686275,98,3.125,0,-0.78125,0,102,29,15,27.07
1441802604,1970,53.33333333,98,4.6875,0.78125,0,0.78125,103,29,15,27.24
1441802606,1980,53.7254902,99,3.90625,0.78125,BADDATA,0.78125,103,29,15,24.52
1441802607,1984.75,50.98039216,BADDATA,3.90625,0.78125,5.46875,0.78125,103,28.5,15,BADDATA
1441802609,1995,57.64705882,99,4.6875,0,0.78125,0,105,19,15,34.55
1441802611,2031.5,61.96078431,99,1.5625,0,3.125,0,106,19,15,36.6
1441802613,BADDATA,63.1372549,99,3.125,BADDATA,-1.5625,0,107,21.5,15,39.03
1441802614,2071.25,65.09803922,99,4.6875,0,3.125,-0.78125,109,16,15,41.25
1441802616,2103.25,60.78431373,99,BADDATA,BADDATA,0,BADDATA,110,15,15,42.85
1441802618,2144,71.76470588,98,BADDATA,-0.78125,0.78125,BADDATA,112,15.5,BADDATA,43.46
1441802620,2161.5,66.2745098,98,0.78125,0,1.5625,0,113,20,15,37.7
1441802621,BADDATA,61.56862745,98,-1.5625,0,3.125,BADDATA,114,21,15,37.48
1441802623,2201.5,60,98,2.34375,0.78125,-1.5625,0,114,30,15,27.85
